aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm,no2_log,co_log,doy_sin,doy_cos,low_confidence,split
-1.5559681302656532,1,0.0454999342626257,0.9896193771626296,3.3418539738988615e-05,0.986159169550173,2020-11-03,Lagos,13.863544397546198,-10.306399729977002,-3.0900443978037333,-0.8331829385891785,0.5529974600700271,False,train
-1.2128413998588663,1,0.0473520185557204,0.8719723183391004,3.5679106675466795e-05,1.0,2020-11-10,Lagos,21.11266309245237,-10.240945287688467,-3.050145829726067,-0.7607200913564104,0.6490800741100398,False,train
-1.3849982780542536,1,0.0508645310064373,0.8512110726643599,4.001307102848237e-05,1.0,2020-11-17,Lagos,8.754220965053822,-10.126304381517834,-2.978589435137976,-0.6772399381909491,0.7357622347736525,False,train
-1.3722337596923928,1,0.0519424420044128,0.9965397923875432,3.7854561785243725e-05,1.0,2020-11-24,Lagos,14.938610879363477,-10.18175906261539,-2.9576190579803394,-0.5839514998576998,0.8117885474764613,False,train
-1.1580218726966922,1,0.0482382284459661,0.986159169550173,3.892283895132887e-05,1.0,2020-12-01,Lagos,8.328434646190248,-10.1539293600557,-3.0316034509944623,-0.4822058478963526,0.8760579434344281,False,train
-1.0127712111367828,1,0.0513156635205288,0.9930795847750864,3.640601255795745e-05,1.0,2020-12-08,Lagos,14.482369035808626,-10.220776616798654,-2.969759241625489,-0.37347653741307074,0.9276396261490467,False,train
-0.8826525100654183,1,0.0561005535077451,0.9377162629757786,4.02900200718124e-05,1.0,2020-12-15,Lagos,13.35954138538881,-10.119406760577663,-2.88060960005394,-0.2593382659754056,0.9657865518844574,False,train
-0.5815004156780335,1,0.0621076137581109,0.7750865051903114,4.4038641749867176e-05,1.0,2020-12-22,Lagos,4.497905135159824,-10.030443087869067,-2.7788866927575606,-0.14144406768794202,0.9899462489023779,False,train
-0.3343713367676595,1,0.0622403224355296,0.9896193771626296,4.098677256763579e-05,1.0,2020-12-29,Lagos,3.9517724015840017,-10.102261163614658,-2.7767522186059854,-0.021501372740813793,0.999768818762748,False,train
-0.7567708972651253,1,0.0579573321719578,0.972318339100346,3.7465233065040765e-05,1.0,2021-01-05,Lagos,8.751660071022126,-10.192097173293448,-2.8480481913682083,0.08590610426133272,0.9963032375991965,False,train
-0.6898251850148045,1,0.0659721032345376,0.903114186851211,4.063336497070574e-05,1.0,2021-01-12,Lagos,9.545550433966714,-10.110921031539085,-2.7185233045739303,0.20496611396949532,0.9787690698649216,False,train
0.7708360888635271,1,0.0856587974359911,1.0,5.57385893221081e-05,1.0,2021-01-19,Lagos,1.420755941445346,-9.79483784440963,-2.4573833456981373,0.321057654185271,0.9470596510722283,False,train
0.2920215319707385,1,0.0757079739832733,1.0,4.929492270948135e-05,1.0,2021-01-26,Lagos,5.703523692645233,-9.917689469856516,-2.5808717874511977,0.4324994021339788,0.901634220265486,False,train
-0.2897843390028041,1,0.0644544766539361,1.0,4.163607478877266e-05,1.0,2021-02-02,Lagos,7.829281071543937,-10.08654358406008,-2.741796092677304,0.5376773767406141,0.8431506618282,False,train
-0.7532336143129483,1,0.0616710833947277,0.9757785467128028,3.577695999988249e-05,1.0,2021-02-09,Lagos,11.97703525849924,-10.238206447163455,-2.7859401225194933,0.6350683134867438,0.7724559775191742,False,train
0.1387556938762059,1,0.0757564252217194,0.9065743944636678,6.432538726375834e-05,1.0,2021-02-16,Lagos,5.443121243129183,-9.651556179390829,-2.580232016780954,0.7232617254437388,0.6905740195722293,False,train
0.1790384429255194,1,0.0821241141050413,1.0,5.578894077025619e-05,1.0,2021-02-23,Lagos,11.49158340504301,-9.793934902301482,-2.4995235893887706,0.8009803309782905,0.5986906625177214,False,train
-0.5568253081332094,1,0.0638304854406923,1.0,4.6431840363753306e-05,1.0,2021-03-02,Lagos,11.829200223522816,-9.977525119333679,-2.751524374530929,0.8670985522812081,0.4981366284784055,False,train
-0.9437514411464206,1,0.0701379648438314,0.986159169550173,5.27130101585999e-05,1.0,2021-03-09,Lagos,42.157658047558826,-9.85064826080516,-2.6572910503193614,0.9206588168102428,0.3903682146763026,False,train
-0.7696016974078723,1,0.0614898776511152,0.9826989619377162,3.378590337245638e-05,0.9688581314878892,2021-03-16,Lagos,44.52241793469728,-10.295466902455503,-2.7888827087550334,0.9608854255574977,0.27694620226893646,False,train
